company,Date,Open,High,Low,Close,Adj Close,Volume
AXP,2018-05-21,101.57,103.239998,100.470001,101.099998,92.869362,11629400
AXP,2018-05-28,99.839996,99.839996,96.980003,98.25,90.251411,12946100
AXP,2018-06-04,98.809998,102.389999,98.43,101.0,92.777512,14927800
AXP,2018-06-11,101.18,101.669998,97.309998,98.519997,90.499405,19089600
AXP,2018-06-18,97.849998,98.550003,95.760002,97.230003,89.314415,21822300
AXP,2018-06-25,97.050003,100.099998,95.650002,98.0,90.021751,24697300
AXP,2018-07-02,97.400002,99.309998,97.160004,98.519997,90.499405,9572000
AXP,2018-07-09,99.260002,101.330002,99.080002,100.5,92.649651,20282100
AXP,2018-07-16,100.599998,103.07,99.279999,100.150002,92.326988,22777400
AXP,2018-07-23,100.150002,104.239998,100.010002,103.849998,95.737968,14882200
AXP,2018-07-30,102.730003,103.110001,98.669998,100.790001,92.916992,16381000
AXP,2018-08-06,100.769997,103.32,100.400002,101.580002,93.645294,10995600
AXP,2018-08-13,101.480003,103.309998,100.839996,103.029999,94.982025,12177100
AXP,2018-08-20,103.019997,106.339996,102.93,105.760002,97.498756,11958400
AXP,2018-08-27,106.790001,107.43,105.300003,105.980003,97.701591,10127000
AXP,2018-09-03,106.349998,107.269997,104.550003,106.080002,97.793785,14575900
AXP,2018-09-10,106.559998,110.010002,106.470001,109.559998,101.001953,16665300
AXP,2018-09-17,110.209999,111.769997,108.940002,110.900002,102.237282,15429700
AXP,2018-09-24,110.739998,110.839996,106.279999,106.489998,98.171745,12779600
AXP,2018-10-01,107.809998,109.400002,106.720001,107.230003,98.853958,12968000
AXP,2018-10-08,106.629997,107.230003,101.550003,103.0,95.29705,20808600
AXP,2018-10-15,102.849998,107.550003,102.209999,106.730003,98.7481,19958800
AXP,2018-10-22,106.610001,106.959999,100.139999,101.25,93.677933,22058200
AXP,2018-10-29,102.470001,105.050003,100.040001,103.709999,95.953979,19637200
AXP,2018-11-05,104.040001,109.330002,103.800003,108.279999,100.182198,16501300
AXP,2018-11-12,108.160004,110.379997,106.300003,109.459999,101.273956,18383300
AXP,2018-11-19,109.900002,110.019997,105.309998,105.739998,97.832138,10670000
AXP,2018-11-26,107.150002,113.18,106.830002,112.269997,103.873802,19521300
AXP,2018-12-03,113.989998,114.550003,104.779999,106.68,98.701859,20512400
